1. Aavas Financiers | HFC | AAVAS | cms4cn922002fwen4g8fbotm7 | Active | LAP Mapped: Yes | Programs: Aavas — Loan Against Property (LAP) | Priority: —
2. Abhyudaya Cooperative Bank | Cooperative Bank | ABHYUDAYA | cms4cnrmq0047wen4n1pdo8xw | Active | LAP Mapped: Yes | Programs: Abhyudaya — Loan Against Property (LAP) | Priority: —
3. Aditya Birla Finance | NBFC | ADITYA_BIRLA_FINANCE | cms4cngrl0037wen43lkirriv | Active | LAP Mapped: Yes | Programs: ABFL — Loan Against Property (LAP) | Priority: —
4. Aditya Birla Housing Finance | HFC | ADITYA_BIRLA_HOUSING | cms4cnccj002rwen4y76rmxjc | Active | LAP Mapped: Yes | Programs: ABHFL — Loan Against Property (LAP) | Priority: —
5. Altum Credo | HFC | ALTUM_CREDO | cms8hqezk001pwed86myx2xve | Active | LAP Mapped: Yes | Programs: Altum Credo — Loan Against Property (LAP) | Priority: —
6. Annapurna Finance | NBFC | ANNAPURNA_FINANCE | cms8hqun80049wed8rdykrel2 | Active | LAP Mapped: Yes | Programs: Annapurna — Loan Against Property (LAP) | Priority: —
7. Aptus Value Housing Finance | HFC | APTUS | cms4cndzn002xwen4p9q2yisd | Active | LAP Mapped: Yes | Programs: Aptus — Loan Against Property (LAP) | Priority: —
8. Arohan | NBFC | AROHAN | cms8hqwbc004jwed8y0s4uj1c | Active | LAP Mapped: Yes | Programs: Arohan — Loan Against Property (LAP) | Priority: —
9. Asirvad Micro Finance | NBFC | ASIRVAD | cms8hqwn2004lwed8swo6uu50 | Active | LAP Mapped: Yes | Programs: Asirvad — Loan Against Property (LAP) | Priority: —
10. AU Small Finance Bank | SFB | AU_SFB | cms4cn0sw001lwen4gdbtp9n1 | Active | LAP Mapped: Yes | Programs: AU SFB — Loan Against Property (LAP) | Priority: —
11. Axis Bank | Private Bank | AXIS | cmrusopch003hwe60phw80i5i | Active | LAP Mapped: Yes | Programs: Axis — Loan Against Property (LAP) | Priority: —
12. Aye Finance | NBFC | AYE_FINANCE | cms8hqtwo0045wed8j2q5135d | Active | LAP Mapped: Yes | Programs: Aye — Loan Against Property (LAP) | Priority: —
13. Bajaj Finance | NBFC | BAJAJ_FINANCE | cms4cnfmd0033wen4dd25gl97 | Active | LAP Mapped: Yes | Programs: Bajaj Finance — Loan Against Property (LAP) | Priority: —
14. Bajaj Housing Finance | HFC | BAJAJ_HOUSING | cms4cn7yv002bwen44z7wjg6l | Active | LAP Mapped: Yes | Programs: Bajaj HFL — Loan Against Property (LAP) | Priority: —  [DUPLICATE NAME — DIFFERENT RECORD]
