1. Abhyudaya Cooperative Bank | Cooperative Bank | ABHYUDAYA | cms4cnrmq0047wen4n1pdo8xw | Active | Personal Loan Mapped: Yes | Programs: Abhyudaya — Personal Loan | Priority: —
2. Aditya Birla Finance | NBFC | ADITYA_BIRLA_FINANCE | cms4cngrl0037wen43lkirriv | Active | Personal Loan Mapped: Yes | Programs: ABFL — Personal Loan | Priority: —
3. Ahmedabad DCCB | Cooperative Bank | AHMEDABAD_DIST | cms8hr4d6005vwed8h58r47l8 | Active | Personal Loan Mapped: Yes | Programs: ADCC Bank — Personal Loan | Priority: —
4. Airtel Payments Bank | payments bank | AIRTEL_PAYMENTS | cms4cnti8004dwen487fv31xd | Active | Personal Loan Mapped: Yes | Programs: Airtel PB — Personal Loan | Priority: —
5. Amazon Pay Credit | NBFC | AMAZON_PAY_LATER | cms8hqk4d002jwed8k0rdwkfg | Active | Personal Loan Mapped: Yes | Programs: Amazon Pay — Personal Loan | Priority: —
6. Andhra Pragathi Grameena Bank | Cooperative Bank | ANDHRA_PRAGATHI | cms8hrhhd007nwed8s7hwpzeh | Active | Personal Loan Mapped: Yes | Programs: APGB — Personal Loan | Priority: —
7. AP State Co-operative Bank | Cooperative Bank | ANDHRA_STATE_COOP | cms8hrtgh009lwed8ie46fy06 | Active | Personal Loan Mapped: Yes | Programs: APCOB — Personal Loan | Priority: —
8. Apna Sahakari Bank | Cooperative Bank | APNA_SAHAKARI | cms8hr20d005hwed8z2wsfvao | Active | Personal Loan Mapped: Yes | Programs: Apna Sahakari — Personal Loan | Priority: —
9. Arunachal Pradesh Rural Bank | Cooperative Bank | ARUNACHAL_RURAL | cms8hrn1l008jwed8ykf8z6bq | Active | Personal Loan Mapped: Yes | Programs: APRB — Personal Loan | Priority: —
10. Aryavart Bank | Cooperative Bank | ARYA_VART | cms8hrik5007twed8zpzffykz | Active | Personal Loan Mapped: Yes | Programs: Aryavart — Personal Loan | Priority: —
11. Assam Gramin Vikash Bank | Cooperative Bank | ASSAM_GRAMIN | cms8hrl0q0087wed8garh8uh0 | Active | Personal Loan Mapped: Yes | Programs: AGVB — Personal Loan | Priority: —
12. AU Small Finance Bank | SFB | AU_SFB | cms4cn0sw001lwen4gdbtp9n1 | Active | Personal Loan Mapped: Yes | Programs: AU SFB — Personal Loan | Priority: —
