1. Abhyudaya Cooperative Bank | Cooperative Bank | ABHYUDAYA | cms4cnrmq0047wen4n1pdo8xw | Active | Unsecured Business Loan Mapped: Yes | Programs: Abhyudaya — Business Loan (Unsecured) | Priority: —
2. Aditya Birla Finance | NBFC | ADITYA_BIRLA_FINANCE | cms4cngrl0037wen43lkirriv | Active | Unsecured Business Loan Mapped: Yes | Programs: ABFL — Business Loan (Unsecured) | Priority: —
3. Ahmedabad DCCB | Cooperative Bank | AHMEDABAD_DIST | cms8hr4d6005vwed8h58r47l8 | Active | Unsecured Business Loan Mapped: Yes | Programs: ADCC Bank — Business Loan (Unsecured) | Priority: —
4. Amazon Pay Credit | NBFC | AMAZON_PAY_LATER | cms8hqk4d002jwed8k0rdwkfg | Active | Unsecured Business Loan Mapped: Yes | Programs: Amazon Pay — Business Loan (Unsecured) | Priority: —
5. Andhra Pragathi Grameena Bank | Cooperative Bank | ANDHRA_PRAGATHI | cms8hrhhd007nwed8s7hwpzeh | Active | Unsecured Business Loan Mapped: Yes | Programs: APGB — Business Loan (Unsecured) | Priority: —
6. Annapurna Finance | NBFC | ANNAPURNA_FINANCE | cms8hqun80049wed8rdykrel2 | Active | Unsecured Business Loan Mapped: Yes | Programs: Annapurna — Business Loan (Unsecured) | Priority: —
7. AP State Co-operative Bank | Cooperative Bank | ANDHRA_STATE_COOP | cms8hrtgh009lwed8ie46fy06 | Active | Unsecured Business Loan Mapped: Yes | Programs: APCOB — Business Loan (Unsecured) | Priority: —
8. Apna Sahakari Bank | Cooperative Bank | APNA_SAHAKARI | cms8hr20d005hwed8z2wsfvao | Active | Unsecured Business Loan Mapped: Yes | Programs: Apna Sahakari — Business Loan (Unsecured) | Priority: —
9. Arohan | NBFC | AROHAN | cms8hqwbc004jwed8y0s4uj1c | Active | Unsecured Business Loan Mapped: Yes | Programs: Arohan — Business Loan (Unsecured) | Priority: —
10. Arunachal Pradesh Rural Bank | Cooperative Bank | ARUNACHAL_RURAL | cms8hrn1l008jwed8ykf8z6bq | Active | Unsecured Business Loan Mapped: Yes | Programs: APRB — Business Loan (Unsecured) | Priority: —
11. Aryavart Bank | Cooperative Bank | ARYA_VART | cms8hrik5007twed8zpzffykz | Active | Unsecured Business Loan Mapped: Yes | Programs: Aryavart — Business Loan (Unsecured) | Priority: —
12. Asirvad Micro Finance | NBFC | ASIRVAD | cms8hqwn2004lwed8swo6uu50 | Active | Unsecured Business Loan Mapped: Yes | Programs: Asirvad — Business Loan (Unsecured) | Priority: —
13. Assam Gramin Vikash Bank | Cooperative Bank | ASSAM_GRAMIN | cms8hrl0q0087wed8garh8uh0 | Active | Unsecured Business Loan Mapped: Yes | Programs: AGVB — Business Loan (Unsecured) | Priority: —
14. AU Small Finance Bank | SFB | AU_SFB | cms4cn0sw001lwen4gdbtp9n1 | Active | Unsecured Business Loan Mapped: Yes | Programs: AU SFB — Business Loan (Unsecured) | Priority: —
15. Axis Bank | Private Bank | AXIS | cmrusopch003hwe60phw80i5i | Active | Unsecured Business Loan Mapped: Yes | Programs: Axis — Business Loan (Unsecured) | Priority: —
16. Aye Finance | NBFC | AYE_FINANCE | cms8hqtwo0045wed8j2q5135d | Active | Unsecured Business Loan Mapped: Yes | Programs: Aye — Business Loan (Unsecured) | Priority: —
